user_id,provider_id,count
3,5,1
3,25825,1
3,84574,1
7,174671,1
9,3381,2
9,8193,1
9,49037,1
9,67035,1
9,94539,1
9,133348,1
9,151717,1
9,175098,1
21,74672,1
21,84588,4
21,147341,3
27,85251,6
27,86277,3
27,106210,1
39,135018,1
39,154702,1
39,175927,1
49,134073,1
70,58573,2
70,59169,1
70,63757,1
70,76756,1
70,112314,2
70,128532,1
70,166817,1
77,119608,1
77,148405,1
82,128532,1
82,134073,1
83,8465,1
83,131035,1
83,139900,1
83,154085,1
89,59169,1
89,61790,2
89,76756,1
89,109691,1
89,122671,1
89,125058,1
89,128532,1
89,166817,1
96,76756,1
102,70029,1
102,70879,1
102,71301,1
102,106494,1
102,107012,1
102,107838,1
102,108017,1
102,110084,1
102,151020,1
107,143849,1
115,76756,1
115,143849,1
124,8453,1
124,26634,1
124,34139,1
124,39647,1
124,97451,1
124,98019,1
124,107655,1
124,130238,1
124,132717,1
124,145666,1
124,146579,1
148,49855,1
148,64200,1
148,172500,1
151,2744,1
153,55694,1
153,56327,2
153,67157,1
153,73037,1
153,74085,1
153,129191,1
153,129643,1
153,130169,1
166,87658,1
166,89424,6
187,128717,1
188,89504,1
188,141004,1
188,141399,1
224,22953,1
275,71589,1
275,74672,1
275,110515,1
275,147341,2
304,55111,1
306,73168,1
306,74672,2
306,84588,3
306,110515,6
306,147341,4
312,135345,1
352,30749,1
352,163907,1
358,55855,1
358,76756,1
358,161562,1
358,165296,1
361,22886,1
361,25641,1
361,54054,1
361,116439,1
361,125965,1
361,127605,1
361,128112,1
386,79796,1
451,2004,5
460,144192,1
515,123323,1
515,149864,1
515,173665,1
524,136971,1
572,79553,1
572,118544,1
572,154315,1
585,1392,1
585,21221,1
585,51607,1
585,56040,1
585,106305,1
585,128805,1
585,148034,1
585,159211,1
585,163576,1
585,167378,1
585,171367,1
585,172421,1
585,173524,1
585,175351,1
619,70029,1
619,70879,1
619,71301,1
619,107012,1
619,107838,1
619,108017,1
619,110084,1
619,151020,1
619,170947,1
697,137301,1
707,133008,1
707,149865,1
717,137954,1
731,115496,1
731,145054,1
794,104949,1
815,48609,2
815,55008,2
815,67798,2
815,71289,2
815,134667,1
839,3288,1
839,4414,1
839,44355,1
839,126536,1
839,132694,1
839,139359,1
839,172512,1
850,13415,3
